date,gcb_d_net,source,note
2026-04-29,5.76,Silver Bulletin GCB tracker,Reference date for model v1
2026-05-15,5.92,"Silver Bulletin GCB CSV — adjusted_net × grade × recency (30d half-life, 60d window)",Model date: 5/15/2026 | n=70 polls in window
2026-05-18,6.13,"Silver Bulletin GCB CSV — adjusted_net × grade × recency (30d half-life, 60d window)",Model date: 5/18/2026 | n=63 polls in window
2026-05-19,6.16,"Silver Bulletin GCB CSV — adjusted_net × grade × recency (30d half-life, 60d window)",Model date: 5/19/2026 | n=61 polls in window
2026-05-20,6.03,"Silver Bulletin GCB CSV — adjusted_net × grade × recency (30d half-life, 60d window)",Model date: 5/20/2026 | n=64 polls in window
2026-05-21,6.16,"Silver Bulletin GCB CSV — adjusted_net × grade × recency (30d half-life, 60d window)",Model date: 5/21/2026 | n=65 polls in window
